,estimated,correct,approx_estimated,approx_estimated2,same_cluster,len
895,1.7806569731125438e-12,2.6257296443729114e-12,3.2003963280656253e-12,1.8329291706798553e-12,0.0,13
896,2.2079014356203156e-09,2.864518985997851e-09,4.1799745632392195e-09,2.3207770344453407e-09,0.0,10
897,5.6323253670453986e-15,7.768420599754628e-15,9.483182408592791e-15,5.884213693062769e-15,0.0,15
898,8.421321007006023e-05,0.00010020852467925038,0.0001351829807774468,8.192378880170598e-05,0.0,6
899,2.1194537889197603e-10,2.744166279795997e-10,4.2807233494356044e-10,2.2187251590590361e-10,0.0,11
900,9.921636363604848e-13,1.3575086108205527e-12,1.818858782720526e-12,1.0416957709143276e-12,0.0,13
901,1.7183752042891393e-11,2.302305476205232e-11,3.2676349284564984e-11,1.785523658783003e-11,0.0,12
902,9.097608661613266e-14,1.296132207386181e-13,1.583245594854367e-13,9.457618576277993e-14,0.0,14
903,3.568454033100567e-05,4.0033798894315055e-05,5.2452074938594696e-05,3.827990819211577e-05,0.0,6
904,1.1426032600930131e-08,1.3682395808726423e-08,1.9352204573686163e-08,1.2617971235083392e-08,0.0,9
905,8.720448953547246e-08,1.1111492174257833e-07,1.7127259105450583e-07,8.622191685054647e-08,0.0,9
906,8.889963157284733e-10,1.087802421575788e-09,1.6067689937734295e-09,9.692990163847973e-10,0.0,10
907,1.3729223167738446e-08,1.721616593643213e-08,2.3432030951811215e-08,1.4950988335695127e-08,0.0,9
908,1.2148045731982514e-12,1.6522564132678058e-12,2.211735484558566e-12,1.2667038928661132e-12,0.0,13
909,2.816823720184486e-06,3.49803664319352e-06,4.365848593600658e-06,3.025262545514158e-06,0.0,7
910,3.004189128680059e-05,3.614570924357455e-05,4.3665790239966464e-05,3.269641088888861e-05,0.0,6
911,0.0036892731901583785,0.004005976424331934,0.004760281596698463,0.004054816881291134,0.0,4
912,3.12125162691374e-05,3.784445642580538e-05,4.531998408495622e-05,3.3847867624552535e-05,0.0,6
913,2.018064210535546e-06,2.5079141159143964e-06,3.0499920094711686e-06,2.2364284837157373e-06,0.0,7
914,0.0002695208605111773,0.00030712937547902944,0.00036240058783581564,0.0003072716414712386,0.0,5
915,0.02931480799901853,0.030650154768336428,0.03514015385731155,0.03430091233657866,0.0,3
916,1.7128399332460975e-07,2.1351423221943096e-07,2.75125203900789e-07,1.8760986468827415e-07,0.0,8
917,4.983248896876233e-07,6.026534956591198e-07,8.675871032173561e-07,5.105774553929749e-07,0.0,8
918,2.993724341021732e-06,3.63016783887358e-06,4.64094598094151e-06,3.2538705728208108e-06,0.0,7
919,0.0038297229429309983,0.0042762944802910725,0.004961047557348423,0.004150224337321514,1.0,4
920,7.567340441143002e-08,9.214498802751271e-08,1.4730605395609105e-07,7.525486504036188e-08,0.0,9
921,2.5399236440543033e-05,2.9906028132597158e-05,3.659144641046396e-05,2.8333485857385853e-05,0.0,6
922,4.958072558910555e-06,5.895643226907643e-06,8.147154713593857e-06,5.054729869774156e-06,0.0,7
923,1.002516069722519e-08,1.322935173906377e-08,1.6795130424320845e-08,1.1155631509060373e-08,0.0,9
924,3.6253768220640876e-05,4.279674633775257e-05,5.364552281760912e-05,3.8587880576319505e-05,0.0,6
925,0.00592142073906449,0.0065667543048458735,0.008101850309233919,0.005634777696854365,0.0,4
926,5.329627600389181e-08,7.065776726750362e-08,1.0083825483826191e-07,5.2426524887777645e-08,0.0,9
927,5.372177329946035e-05,6.137499565858383e-05,8.210875166109159e-05,5.371540872810933e-05,0.0,6
928,6.655756062602605e-07,8.814551431473487e-07,1.1921634818952283e-06,6.467484796450403e-07,0.0,8
929,1.725490367671016e-08,2.378456033243329e-08,2.9781485464319622e-08,1.872576592909588e-08,0.0,9
930,0.000530625131710132,0.0005954275495731597,0.0007586384734589288,0.0005319998140379365,0.0,5
931,5.854005976088265e-09,7.860390811210447e-09,1.1675916369670858e-08,5.699709902103556e-09,0.0,10
932,5.811110404743655e-05,7.435730001505499e-05,9.210022872280199e-05,5.792540389389654e-05,0.0,6
933,9.422443006704617e-11,1.3979271220932349e-10,1.8190828248780782e-10,1.0125062115311474e-10,0.0,11
934,0.0004841860183560249,0.0005282560424588446,0.0006916642652268393,0.0004986440980171315,0.0,5
935,5.430185644163116e-10,7.526025538963881e-10,1.0210469723273395e-09,5.292149062570021e-10,0.0,11
936,6.167587178157659e-06,7.667227774008665e-06,1.0222545941722402e-05,6.036165700305272e-06,0.0,7
937,5.782543712302903e-06,7.412625939728458e-06,9.532058430143519e-06,5.692762042675725e-06,0.0,7
938,4.678012285273835e-05,5.302733494435885e-05,7.102954874850599e-05,4.7660026281551006e-05,0.0,6
939,5.4473988782545886e-06,6.910596111884144e-06,8.96832282024882e-06,5.534795727921528e-06,0.0,7
